TicketNumber,Latitude,Longitude,Zip,ClassificationType,Date,Time,Hour,CensusTract_2010,CensusBlock_2010,CountyName_2010,GEOID_2010,CensusTract_2010_ID,CensusTract_2010_NAME,CensusBlock_2010_ID,CensusBlock_2010_NAME
XL20002367,40.825759999999995,-73.90688,10456,M,02/16/2020,09:34 AM,09 AM,185,4001,Bronx County,360050185004001,018500,Census Tract 185,4001,Block 4001
XL20002373,40.883309999999994,-73.90572,10463,M,02/16/2020,04:33 PM,04 PM,287,1000,Bronx County,360050287001000,028700,Census Tract 287,1000,Block 1000
ML20002631,40.769,-73.98235,10023,M,02/17/2020,07:04 AM,07 AM,145,4000,New York County,360610145004000,014500,Census Tract 145,4000,Block 4000
ML20002645,40.80022,-73.95528,10026,P,02/17/2020,10:42 AM,10 AM,216,5000,New York County,360610216005000,021600,Census Tract 216,5000,Block 5000
ML20002661,40.76267,-73.97116,10022,P,02/17/2020,12:34 PM,12 PM,112.02,1000,New York County,360610112021000,011202,Census Tract 112.02,1000,Block 1000
QL20001619,40.75925,-73.79196999999999,11358,P,02/17/2020,02:10 PM,02 PM,1175,4006,Queens County,360811175004006,117500,Census Tract 1175,4006,Block 4006
QL20001624,40.74394,-73.71866,11426,P,02/17/2020,03:06 PM,03 PM,1571.01,2000,Queens County,360811571012000,157101,Census Tract 1571.01,2000,Block 2000
WL20002164,40.9426,-73.85857,10701,M,02/17/2020,07:53 AM,07 AM,17,1015,Westchester County,361190017001015,001700,Census Tract 17,1015,Block 1015
WL20002168,41.17112,-73.83840000000002,10562,M,02/17/2020,09:15 AM,09 AM,135,1025,Westchester County,361190135001025,013500,Census Tract 135,1025,Block 1025
WL20002169,41.104459999999996,-73.79051,10532,M,02/17/2020,09:30 AM,09 AM,120,2019,Westchester County,361190120002019,012000,Census Tract 120,2019,Block 2019
WL20002170,40.97627,-73.86971,10703,M,02/17/2020,09:47 AM,09 AM,9,3013,Westchester County,361190009003013,000900,Census Tract 9,3013,Block 3013
WL20002176,40.91317,-73.80094,10801,M,02/17/2020,10:31 AM,10 AM,62,1008,Westchester County,361190062001008,006200,Census Tract 62,1008,Block 1008
WL20002178,41.17037,-73.83433000000001,10562,P,02/17/2020,11:17 AM,11 AM,137,2005,Westchester County,361190137002005,013700,Census Tract 137,2005,Block 2005
WL20002181,40.97378,-73.77308000000001,10583,M,02/17/2020,11:59 AM,11 AM,98,4012,Westchester County,361190098004012,009800,Census Tract 98,4012,Block 4012
WL20002184,41.12939,-73.77663000000001,10570,P,02/17/2020,12:13 PM,12 PM,121.02,3000,Westchester County,361190121023000,012102,Census Tract 121.02,3000,Block 3000
WL20002190,41.018409999999996,-73.74558,10605,M,02/17/2020,02:27 PM,02 PM,97.02,3013,Westchester County,361190097023013,009702,Census Tract 97.02,3013,Block 3013
WL20002194,41.01923,-73.73177,10604,P,02/17/2020,03:37 PM,03 PM,97.02,2024,Westchester County,361190097022024,009702,Census Tract 97.02,2024,Block 2024
WL20002198,40.90339,-73.77568000000001,10805,P,02/17/2020,04:43 PM,04 PM,59.01,2007,Westchester County,361190059012007,005901,Census Tract 59.01,2007,Block 2007
XL20002423,40.83918,-73.86918,10460,M,02/17/2020,02:57 PM,02 PM,218,3001,Bronx County,360050218003001,021800,Census Tract 218,3001,Block 3001
ML20002642,40.7507,-73.98783,10018,P,02/17/2020,10:10 AM,10 AM,109,1007,New York County,360610109001007,010900,Census Tract 109,1007,Block 1007
ML20002707,40.722409999999996,-73.98619000000001,10002,P,02/18/2020,09:34 AM,09 AM,30.02,2001,New York County,360610030022001,003002,Census Tract 30.02,2001,Block 2001
ML20002713,40.73464,-74.00039,10014,P,02/18/2020,10:33 AM,10 AM,71,4003,New York County,360610071004003,007100,Census Tract 71,4003,Block 4003
ML20002715,40.71348,-73.98904,10002,M,02/18/2020,11:11 AM,11 AM,6,3001,New York County,360610006003001,000600,Census Tract 6,3001,Block 3001
ML20002728,40.75118,-73.98775,10018,P,02/18/2020,01:20 PM,01 PM,109,1007,New York County,360610109001007,010900,Census Tract 109,1007,Block 1007
ML20002738,40.7918,-73.97568000000001,10024,P,02/18/2020,03:51 PM,03 PM,179,5001,New York County,360610179005001,017900,Census Tract 179,5001,Block 5001
ML20002739,40.831579999999995,-73.94109,10032,P,02/18/2020,04:02 PM,04 PM,239,1002,New York County,360610239001002,023900,Census Tract 239,1002,Block 1002
ML20002740,40.7336,-73.99201,10003,M,02/18/2020,04:11 PM,04 PM,61,3002,New York County,360610061003002,006100,Census Tract 61,3002,Block 3002
ML20002746,40.77602,-73.96351,10075,P,02/18/2020,06:02 PM,06 PM,142,4001,New York County,360610142004001,014200,Census Tract 142,4001,Block 4001
ML20002749,40.76127,-73.99726,10036,P,02/18/2020,07:30 PM,07 PM,129,2007,New York County,360610129002007,012900,Census Tract 129,2007,Block 2007
QL20001629,40.76007,-73.77523000000001,11361,M,02/18/2020,08:33 AM,08 AM,1467,3005,Queens County,360811467003005,146700,Census Tract 1467,3005,Block 3005
QL20001641,40.77154,-73.84651,11354,P,02/18/2020,11:03 AM,11 AM,907,1023,Queens County,360810907001023,090700,Census Tract 907,1023,Block 1023
QL20001642,40.730059999999995,-73.78054,11366,P,02/18/2020,11:13 AM,11 AM,1333,3001,Queens County,360811333003001,133300,Census Tract 1333,3001,Block 3001
QL20001645,40.75265,-73.95071999999999,11101,P,02/18/2020,12:18 PM,12 PM,1,1001,Queens County,360810001001001,000100,Census Tract 1,1001,Block 1001
QL20001647,40.76198,-73.76122,11361,P,02/18/2020,12:44 PM,12 PM,1471,1016,Queens County,360811471001016,147100,Census Tract 1471,1016,Block 1016
QL20001649,40.78065,-73.91475,11105,P,02/18/2020,01:07 PM,01 PM,103,2002,Queens County,360810103002002,010300,Census Tract 103,2002,Block 2002
QL20001651,40.74993,-73.95225,11101,P,02/18/2020,01:32 PM,01 PM,1,1001,Queens County,360810001001001,000100,Census Tract 1,1001,Block 1001
QL20001656,40.76173,-73.77598,11361,P,02/18/2020,02:28 PM,02 PM,1467,3000,Queens County,360811467003000,146700,Census Tract 1467,3000,Block 3000
QL20001662,40.76525,-73.81093,11354,P,02/18/2020,04:38 PM,04 PM,1155,2000,Queens County,360811155002000,115500,Census Tract 1155,2000,Block 2000
QL20001667,40.78802,-73.84495,11356,M,02/18/2020,06:48 PM,06 PM,939,2006,Queens County,360810939002006,093900,Census Tract 939,2006,Block 2006
QL20001672,40.75645,-73.73913,11362,M,02/18/2020,10:27 PM,10 PM,1529.01,3004,Queens County,360811529013004,152901,Census Tract 1529.01,3004,Block 3004
WL20001528,40.96745,-73.80673,10583,M,02/01/2020,08:06 PM,08 PM,50.02,3001,Westchester County,361190050023001,005002,Census Tract 50.02,3001,Block 3001
WL20002210,40.99239,-73.82131,10583,M,02/18/2020,07:58 AM,07 AM,107.01,2025,Westchester County,361190107012025,010701,Census Tract 107.01,2025,Block 2025
WL20002211,40.9042,-73.79315,10801,P,02/18/2020,08:21 AM,08 AM,61,3003,Westchester County,361190061003003,006100,Census Tract 61,3003,Block 3003
WL20002216,40.96034,-73.89274,10701,P,02/18/2020,10:59 AM,10 AM,7.02,2001,Westchester County,361190007022001,000702,Census Tract 7.02,2001,Block 2001
WL20002217,40.99094,-73.76983,10583,P,02/18/2020,11:08 AM,11 AM,99,2001,Westchester County,361190099002001,009900,Census Tract 99,2001,Block 2001
WL20002218,41.17696,-73.66657000000002,10506,M,02/18/2020,11:12 AM,11 AM,127,4024,Westchester County,361190127004024,012700,Census Tract 127,4024,Block 4024
WL20002224,40.94037,-73.7933,10804,M,02/18/2020,12:49 PM,12 PM,67,3009,Westchester County,361190067003009,006700,Census Tract 67,3009,Block 3009
WL20002226,41.06329,-73.77243,10603,P,02/18/2020,12:54 PM,12 PM,123.01,1023,Westchester County,361190123011023,012301,Census Tract 123.01,1023,Block 1023
WL20002227,41.287890000000004,-73.90053,10566,M,02/18/2020,12:58 PM,12 PM,145,1011,Westchester County,361190145001011,014500,Census Tract 145,1011,Block 1011
WL20002235,41.00169,-73.75761,10605,M,02/18/2020,02:56 PM,02 PM,97.01,3018,Westchester County,361190097013018,009701,Census Tract 97.01,3018,Block 3018
WL20002245,41.030120000000004,-73.76331,10601,P,02/19/2020,01:11 AM,01 AM,94,2007,Westchester County,361190094002007,009400,Census Tract 94,2007,Block 2007
XL20002465,40.852709999999995,-73.88797,10458,M,02/18/2020,09:40 AM,09 AM,391,4000,Bronx County,360050391004000,039100,Census Tract 391,4000,Block 4000
XL20002466,40.851,-73.78513000000001,10464,P,02/18/2020,10:04 AM,10 AM,516,1013,Bronx County,360050516001013,051600,Census Tract 516,1013,Block 1013
XL20002486,40.8479,-73.88445,10460,P,02/18/2020,12:57 PM,12 PM,371,1001,Bronx County,360050371001001,037100,Census Tract 371,1001,Block 1001
XL20002500,40.81313,-73.91996,10454,P,02/18/2020,03:46 PM,03 PM,43,2008,Bronx County,360050043002008,004300,Census Tract 43,2008,Block 2008
ML20002775,40.827040000000004,-73.93693,10039,P,02/19/2020,10:44 AM,10 AM,236,2003,New York County,360610236002003,023600,Census Tract 236,2003,Block 2003
ML20002779,40.75874,-73.99410999999999,10036,M,02/19/2020,11:23 AM,11 AM,115,2000,New York County,360610115002000,011500,Census Tract 115,2000,Block 2000
ML20002783,40.7204,-73.98908,10002,P,02/19/2020,11:43 AM,11 AM,30.01,2002,New York County,360610030012002,003001,Census Tract 30.01,2002,Block 2002
ML20002792,40.77879,-73.98207,10023,M,02/19/2020,01:37 PM,01 PM,159,6001,New York County,360610159006001,015900,Census Tract 159,6001,Block 6001
ML20002793,40.70745,-74.00979,10005,P,02/19/2020,01:42 PM,01 PM,7,1002,New York County,360610007001002,000700,Census Tract 7,1002,Block 1002
ML20002803,40.73673,-73.99533000000001,10011,M,02/19/2020,05:32 PM,05 PM,54,3000,New York County,360610054003000,005400,Census Tract 54,3000,Block 3000
ML20002812,40.79905,-73.9723,10025,M,02/20/2020,12:14 AM,12 AM,187,1000,New York County,360610187001000,018700,Census Tract 187,1000,Block 1000
QL20001695,40.72827,-73.73447,11427,P,02/19/2020,04:07 PM,04 PM,1621,2003,Queens County,360811621002003,162100,Census Tract 1621,2003,Block 2003
QL20001709,40.76542,-73.72462,11362,M,02/19/2020,11:21 PM,11 PM,1507.02,3005,Queens County,360811507023005,150702,Census Tract 1507.02,3005,Block 3005
WL20002255,40.970690000000005,-73.71862,10528,M,02/19/2020,10:01 AM,10 AM,84.03,2032,Westchester County,361190084032032,008403,Census Tract 84.03,2032,Block 2032
WL20002258,41.044470000000004,-73.79993,10607,M,02/19/2020,10:51 AM,10 AM,109.03,2003,Westchester County,361190109032003,010903,Census Tract 109.03,2003,Block 2003
WL20002259,40.96083,-73.8753,10703,M,02/19/2020,11:17 AM,11 AM,8.02,2006,Westchester County,361190008022006,000802,Census Tract 8.02,2006,Block 2006
WL20002265,41.116690000000006,-73.78485,10594,M,02/19/2020,01:15 PM,01 PM,121.02,1015,Westchester County,361190121021015,012102,Census Tract 121.02,1015,Block 1015
WL20002272,40.9755,-73.79541,10583,P,02/19/2020,03:15 PM,03 PM,101,2028,Westchester County,361190101002028,010100,Census Tract 101,2028,Block 2028
WL20002273,40.95909,-73.87616,10703,M,02/19/2020,03:32 PM,03 PM,8.02,2006,Westchester County,361190008022006,000802,Census Tract 8.02,2006,Block 2006
WL20002279,41.04866,-73.85479000000001,10533,M,02/19/2020,08:11 PM,08 PM,114,1047,Westchester County,361190114001047,011400,Census Tract 114,1047,Block 1047
XL20002533,40.90576,-73.90235,10471,P,02/19/2020,12:00 PM,12 PM,337,3004,Bronx County,360050337003004,033700,Census Tract 337,3004,Block 3004
XL20001799,40.851690000000005,-73.82968000000001,10461,M,02/04/2020,11:17 AM,11 AM,300,2006,Bronx County,360050300002006,030000,Census Tract 300,2006,Block 2006
ML20002846,40.72351,-74.00169,10012,M,02/20/2020,02:21 PM,02 PM,47,1003,New York County,360610047001003,004700,Census Tract 47,1003,Block 1003
ML20002867,40.76338,-73.97089,10022,M,02/20/2020,11:36 PM,11 PM,114.01,1003,New York County,360610114011003,011401,Census Tract 114.01,1003,Block 1003
QL20001712,40.76721,-73.9112,11103,P,02/20/2020,09:10 AM,09 AM,143,2001,Queens County,360810143002001,014300,Census Tract 143,2001,Block 2001
QL20001717,40.75371,-73.74768,11364,M,02/20/2020,10:28 AM,10 AM,1385.01,4007,Queens County,360811385014007,138501,Census Tract 1385.01,4007,Block 4007
QL20001719,40.7827,-73.79571999999999,11357,M,02/20/2020,11:02 AM,11 AM,1017,6010,Queens County,360811017006010,101700,Census Tract 1017,6010,Block 6010
QL20001721,40.74831,-73.95224,11101,P,02/20/2020,11:53 AM,11 AM,1,1003,Queens County,360810001001003,000100,Census Tract 1,1003,Block 1003
QL20001726,40.749959999999994,-73.95225,11101,M,02/20/2020,03:16 PM,03 PM,1,1001,Queens County,360810001001001,000100,Census Tract 1,1001,Block 1001
WL20002291,40.94287,-73.89842,10701,P,02/20/2020,08:31 AM,08 AM,4.02,2002,Westchester County,361190004022002,000402,Census Tract 4.02,2002,Block 2002
WL20002298,41.18179,-73.74558,10549,M,02/20/2020,10:11 AM,10 AM,131.02,4004,Westchester County,361190131024004,013102,Census Tract 131.02,4004,Block 4004
WL20002317,41.057759999999995,-73.85308,10591,M,02/20/2020,04:55 PM,04 PM,114,1022,Westchester County,361190114001022,011400,Census Tract 114,1022,Block 1022
XL20002586,40.87482,-73.8584,10469,P,02/20/2020,11:01 AM,11 AM,370,3000,Bronx County,360050370003000,037000,Census Tract 370,3000,Block 3000
ML20002886,40.79497,-73.97043000000001,10025,P,02/21/2020,01:19 PM,01 PM,183,6000,New York County,360610183006000,018300,Census Tract 183,6000,Block 6000
QL20001768,40.718709999999994,-73.7985,11432,M,02/21/2020,09:14 PM,09 PM,1267,3000,Queens County,360811267003000,126700,Census Tract 1267,3000,Block 3000
WL20001790,41.04065,-73.81184,10607,P,02/06/2020,12:25 PM,12 PM,109.03,3020,Westchester County,361190109033020,010903,Census Tract 109.03,3020,Block 3020
WL20002334,40.95975,-73.68648,10580,P,02/21/2020,07:33 AM,07 AM,76,3011,Westchester County,361190076003011,007600,Census Tract 76,3011,Block 3011
WL20002336,41.20977,-73.89185,10520,P,02/21/2020,09:33 AM,09 AM,139,3003,Westchester County,361190139003003,013900,Census Tract 139,3003,Block 3003
WL20002338,41.04741,-73.76585,10603,M,02/21/2020,09:50 AM,09 AM,89.01,1004,Westchester County,361190089011004,008901,Census Tract 89.01,1004,Block 1004
WL20002343,41.2093,-73.89213000000001,10520,P,02/21/2020,11:06 AM,11 AM,139,3003,Westchester County,361190139003003,013900,Census Tract 139,3003,Block 3003
WL20002354,41.15444,-73.82751,10510,P,02/21/2020,01:39 PM,01 PM,132.02,1006,Westchester County,361190132021006,013202,Census Tract 132.02,1006,Block 1006
WL20002375,40.91556,-73.89905999999999,10705,M,02/21/2020,09:35 PM,09 PM,2.03,1001,Westchester County,361190002031001,000203,Census Tract 2.03,1001,Block 1001
XL20002640,40.88192,-73.85,10469,M,02/21/2020,10:41 AM,10 AM,386,5001,Bronx County,360050386005001,038600,Census Tract 386,5001,Block 5001
XL20002646,40.8163,-73.8608,10473,P,02/21/2020,11:25 AM,11 AM,16,2005,Bronx County,360050016002005,001600,Census Tract 16,2005,Block 2005
XL20002648,40.81561,-73.9185,10455,P,02/21/2020,12:32 PM,12 PM,65,1000,Bronx County,360050065001000,006500,Census Tract 65,1000,Block 1000
WL20002397,40.93455,-73.84337,10708,M,02/22/2020,02:20 PM,02 PM,22.04,1006,Westchester County,361190022041006,002204,Census Tract 22.04,1006,Block 1006
WL20002400,40.904709999999994,-73.83037,10550,P,02/22/2020,05:34 PM,05 PM,27,1001,Westchester County,361190027001001,002700,Census Tract 27,1001,Block 1001
WL20002404,40.968790000000006,-73.78321,10804,P,02/22/2020,07:22 PM,07 PM,68.01,3021,Westchester County,361190068013021,006801,Census Tract 68.01,3021,Block 3021
ML20002922,40.71887,-74.01097,10013,M,02/22/2020,08:38 AM,08 AM,39,3000,New York County,360610039003000,003900,Census Tract 39,3000,Block 3000
ML20002932,40.81493,-73.93685,10037,P,02/22/2020,01:23 PM,01 PM,212,1001,New York County,360610212001001,021200,Census Tract 212,1001,Block 1001
ML20002935,40.74197,-73.98087,10016,M,02/22/2020,02:24 PM,02 PM,68,6000,New York County,360610068006000,006800,Census Tract 68,6000,Block 6000
QL20001777,40.748709999999996,-73.77521999999999,11364,M,02/22/2020,10:00 AM,10 AM,1409.01,1001,Queens County,360811409011001,140901,Census Tract 1409.01,1001,Block 1001
WL20002379,40.947309999999995,-73.89321,10701,P,02/22/2020,03:39 AM,03 AM,6,4002,Westchester County,361190006004002,000600,Census Tract 6,4002,Block 4002
WL20002392,41.00145,-73.75763,10605,M,02/22/2020,12:21 PM,12 PM,97.01,3018,Westchester County,361190097013018,009701,Census Tract 97.01,3018,Block 3018
ML20002958,40.71795,-73.98852,10002,M,02/23/2020,07:53 AM,07 AM,18,2001,New York County,360610018002001,001800,Census Tract 18,2001,Block 2001
ML20002963,40.72663,-73.9867,10003,P,02/23/2020,10:06 AM,10 AM,38,6000,New York County,360610038006000,003800,Census Tract 38,6000,Block 6000
ML20002981,40.762,-73.97766,10019,M,02/23/2020,06:31 PM,06 PM,104,1002,New York County,360610104001002,010400,Census Tract 104,1002,Block 1002
ML20002986,40.83193,-73.94273000000001,10032,P,02/23/2020,07:02 PM,07 PM,241,3000,New York County,360610241003000,024100,Census Tract 241,3000,Block 3000
QL20001794,40.721920000000004,-73.78469,11432,M,02/23/2020,08:50 AM,08 AM,1277,1009,Queens County,360811277001009,127700,Census Tract 1277,1009,Block 1009
QL20001795,40.73411,-73.77743000000001,11366,P,02/23/2020,09:52 AM,09 AM,1333,1007,Queens County,360811333001007,133300,Census Tract 1333,1007,Block 1007
QL20001806,40.727470000000004,-73.73042,11426,P,02/23/2020,10:10 PM,10 PM,1621,3005,Queens County,360811621003005,162100,Census Tract 1621,3005,Block 3005
WL20002413,40.94632,-73.89148,10703,P,02/23/2020,08:47 AM,08 AM,6,4001,Westchester County,361190006004001,000600,Census Tract 6,4001,Block 4001
WL20002414,41.00148,-73.75655,10605,M,02/23/2020,09:27 AM,09 AM,97.01,3017,Westchester County,361190097013017,009701,Census Tract 97.01,3017,Block 3017
WL20002417,40.97882,-73.68559,10580,P,02/23/2020,12:03 PM,12 PM,77,2028,Westchester County,361190077002028,007700,Census Tract 77,2028,Block 2028
WL20002419,41.147940000000006,-73.67186,10504,P,02/23/2020,02:13 PM,02 PM,123.04,1015,Westchester County,361190123041015,012304,Census Tract 123.04,1015,Block 1015
WL20002422,41.0545,-73.81318,10523,M,02/23/2020,03:15 PM,03 PM,112,3024,Westchester County,361190112003024,011200,Census Tract 112,3024,Block 3024
WL20002432,40.9061,-73.85993,10704,P,02/23/2020,08:01 PM,08 PM,15.04,3005,Westchester County,361190015043005,001504,Census Tract 15.04,3005,Block 3005
WL20002433,40.96594,-73.70495,10580,P,02/23/2020,08:17 PM,08 PM,75,1019,Westchester County,361190075001019,007500,Census Tract 75,1019,Block 1019
ML20002999,40.75885,-73.9642,10022,P,02/24/2020,09:18 AM,09 AM,108,2000,New York County,360610108002000,010800,Census Tract 108,2000,Block 2000
ML20003002,40.74685,-73.98477,10016,M,02/24/2020,09:42 AM,09 AM,74,1003,New York County,360610074001003,007400,Census Tract 74,1003,Block 1003
ML20003008,40.73457,-74.00473000000001,10014,P,02/24/2020,10:57 AM,10 AM,73,1002,New York County,360610073001002,007300,Census Tract 73,1002,Block 1002
ML20003019,40.744859999999996,-73.98289,10016,P,02/24/2020,12:53 PM,12 PM,72,3000,New York County,360610072003000,007200,Census Tract 72,3000,Block 3000
ML20003020,40.7761,-73.98528,10023,P,02/24/2020,12:56 PM,12 PM,155,6000,New York County,360610155006000,015500,Census Tract 155,6000,Block 6000
ML20003021,40.75322,-73.97478000000001,10017,P,02/24/2020,01:12 PM,01 PM,92,1009,New York County,360610092001009,009200,Census Tract 92,1009,Block 1009
ML20003032,40.76439,-73.992,10019,P,02/24/2020,03:54 PM,03 PM,127,4000,New York County,360610127004000,012700,Census Tract 127,4000,Block 4000
ML20003041,40.81185,-73.9511,10027,M,02/24/2020,07:43 PM,07 PM,215,1001,New York County,360610215001001,021500,Census Tract 215,1001,Block 1001
QL20001818,40.75658,-73.80167,11358,P,02/24/2020,09:50 AM,09 AM,1193,2000,Queens County,360811193002000,119300,Census Tract 1193,2000,Block 2000
QL20001830,40.7738,-73.91925,11102,M,02/24/2020,05:38 PM,05 PM,95,2012,Queens County,360810095002012,009500,Census Tract 95,2012,Block 2012
QL20001835,40.726040000000005,-73.79068000000001,11366,P,02/24/2020,06:29 PM,06 PM,1277,1000,Queens County,360811277001000,127700,Census Tract 1277,1000,Block 1000
QL20001837,40.737120000000004,-73.92371,11104,P,02/24/2020,07:51 PM,07 PM,187,2001,Queens County,360810187002001,018700,Census Tract 187,2001,Block 2001
WL20002445,41.23664,-73.69991,10507,P,02/24/2020,09:08 AM,09 AM,128.02,4011,Westchester County,361190128024011,012802,Census Tract 128.02,4011,Block 4011
WL20002447,40.93812,-73.86296,10701,P,02/24/2020,09:53 AM,09 AM,23,1011,Westchester County,361190023001011,002300,Census Tract 23,1011,Block 1011
WL20002450,40.98572,-73.79782,10583,P,02/24/2020,10:17 AM,10 AM,101,1016,Westchester County,361190101001016,010100,Census Tract 101,1016,Block 1016
WL20002453,41.02324,-73.76114,10605,M,02/24/2020,11:15 AM,11 AM,94,3017,Westchester County,361190094003017,009400,Census Tract 94,3017,Block 3017
WL20002454,41.20309,-73.64303000000001,10506,P,02/24/2020,11:20 AM,11 AM,127,2002,Westchester County,361190127002002,012700,Census Tract 127,2002,Block 2002
WL20002457,40.93842,-73.86335,10701,P,02/24/2020,11:43 AM,11 AM,23,1010,Westchester County,361190023001010,002300,Census Tract 23,1010,Block 1010
WL20002461,41.07305,-73.85947,10591,P,02/24/2020,01:07 PM,01 PM,115,3000,Westchester County,361190115003000,011500,Census Tract 115,3000,Block 3000
WL20002462,41.01695,-73.87728,10522,M,02/24/2020,01:17 PM,01 PM,104,3004,Westchester County,361190104003004,010400,Census Tract 104,3004,Block 3004
WL20002464,40.95983,-73.83305,10710,P,02/24/2020,01:23 PM,01 PM,21.04,1015,Westchester County,361190021041015,002104,Census Tract 21.04,1015,Block 1015
WL20002465,40.90708,-73.82315,10553,M,02/24/2020,02:08 PM,02 PM,33,2003,Westchester County,361190033002003,003300,Census Tract 33,2003,Block 2003
WL20002470,40.924820000000004,-73.82879,10552,M,02/24/2020,03:53 PM,03 PM,42,2008,Westchester County,361190042002008,004200,Census Tract 42,2008,Block 2008
WL20002479,41.0398,-73.79441,10607,M,02/24/2020,07:11 PM,07 PM,109.03,4027,Westchester County,361190109034027,010903,Census Tract 109.03,4027,Block 4027
WL20002484,40.936370000000004,-73.83136999999999,10708,M,02/24/2020,10:22 PM,10 PM,47,1035,Westchester County,361190047001035,004700,Census Tract 47,1035,Block 1035
XL20002749,40.85212,-73.84942,10461,M,02/24/2020,09:43 AM,09 AM,288,2002,Bronx County,360050288002002,028800,Census Tract 288,2002,Block 2002
XL20002754,40.87143,-73.86649,10467,P,02/24/2020,10:28 AM,10 AM,374,1000,Bronx County,360050374001000,037400,Census Tract 374,1000,Block 1000
XL20002759,40.8424,-73.84424,10461,P,02/24/2020,11:44 AM,11 AM,200,2007,Bronx County,360050200002007,020000,Census Tract 200,2007,Block 2007
ML20002716,40.75118,-73.98775,10018,P,02/18/2020,11:17 AM,11 AM,109,1007,New York County,360610109001007,010900,Census Tract 109,1007,Block 1007
